Manager,Years,OOS CAGR,Contribution Share
The Winton Fund,12.583333333333334,0.1252294928654032,0.11882729884513245
Kaiser Global Diversified Program,15.583333333333334,0.10965668355047908,0.11759657439224198
Quantica Managed Futures Program,9.75,0.10938509925307005,0.08712664794093526
Fulcrum Multi Asset Trend Fund,7.833333333333333,0.14160568030558363,0.07943891513571293
Winton Diversified Macro,14.583333333333334,0.061971099500352844,0.0784171363994455
ETC Evolution Strategy,12.75,0.06737330892035498,0.07071824848179906
HYDRA Platform Metori Global Trend Cell,7.833333333333333,0.16528833449163893,0.0674101495962143
Transtrend Diversified Trend Program,11.583333333333334,0.09240956531609723,0.06718520366549899
Lynx Fund,10.583333333333334,0.10280001545283945,0.06477603840471807
Trend Plus Strategy (PGIM),4.0,0.2106834749319193,0.06291676413244628
Systematica BlueTrend,8.75,0.05230397842812318,0.056082786720831106
Mulvaney Global Markets Fund,2.0,0.34241264448913955,0.04798424580188873
FORT Global Trend Program,8.75,0.0470687547993387,0.04581605526405307
Man AHL Trend Alternative,4.0,0.15518418306751647,0.045218506204809536
Revolution Mosaic Institutional Program,4.0,0.09165766349175875,0.030587215936379922
Florin Court Capital Fund,5.0,0.10084625147752058,0.028074361477528446
Episteme Trend,4.0,-0.015612261974120911,0.011106504323377587
Welton Trend,3.0,-0.04942886726118645,0.007741977731853208
SPQI Select Trading Program,2.0,-0.015218249993394939,0.003317256014346037
CFM ISTrends Program,1.8333333333333333,-0.07891847404491625,-0.0007641970689926463
Campbell Managed Futures Portfolio,1.0,-0.16830729364498798,-0.00473772417377543
SMN Diversified Futures Fund,2.0,-0.07759983549397031,-0.00830367531335831
Drury Diversified Trend-Following Program,1.9166666666666667,-0.17763668291855017,-0.01630888899427024
Auspice Diversified Trust,2.8333333333333335,-0.18102533559151146,-0.022825352585829878
AlphaSimplex Managed Futures Strategy,3.75,-0.16869496854216637,-0.03740204833298529
